1	Afghanistan
2	AfriqueSud
3	Albanie
4	Algerie
5	Allemagne
6	Andorre
7	Angola
8	Antigua-Barbuda
9	Arabie-Saoudite
A	Argentine
B	Arménie
C	Australie
D	Autriche
E	Azerbaidjan
F	Bahamas
10	Bahrein
11	Bangladesh
12	Barbade
13	Belgique
14	Belize
15	Benin
16	Bhoutan
17	Bielorussie
18	Myanmar
19	Bolivie
1A	BosnieHerzegovine
1B	Botswana
1C	Bresil
1D	Brunei
1E	Bulgarie
1F	BurkinaFaso
20	Burundi
21	Cambodge
22	Cameroun
23	Canada
24	Cap-Vert
25	Centrafrique
26	Chili
27	Chypre
28	Colombie
29	Comores
2A	Congo
2B	CoreeNord
2C	CoreeSud
2D	CostaRica
2E	CoteIvoire
2F	Croatie
30	Cuba
31	Danemark
32	Djibouti
34	Guinee
35	Libye
36	Chine
37	Egypte
38	EmiratsArabesUnis
39	Equateur
3A	Erythrée
3B	Espagne
3C	Estonie
3D	Etats-Unis
3E	Ethiopie
3F	Fidji
40	Finlande
41	France
42	Gabon
43	Gambie
44	Georgie
45	Ghana
46	Grece
47	Grenade
48	Guatemala
49	
4A	GuineeBissau
4B	GuineEquatoriale
4C	Guyana
4D	Haiti
4E	Honduras
4F	Hongrie
50	
51	IlesCook
52	IlesSalomon
53	Inde
54	Indonesie
55	Irak
56	Iran
57	Irlande
58	Islande
59	Israel
5A	Italie
5B	Jamaique
5C	Japon
5D	
5E	Jordanie
5F	Kazakhstan
60	Kenya
61	Kirghizistan
62	Kiribati
63	Koweït
64	Laos
65	Lesotho
66	Lettonie
67	Liban
68	Liberia
69	Liechtenstein
6A	Lituanie
6B	Luxembourg
6C	Macedoine
6D	Madagascar
6E	Malaisie
6F	Malawi
70	Maldives
71	Mali
72	Malte
73	Maroc
74	IlesMarshall
75	Maurice
76	Mauritanie
77	Mexique
78	Micronesie
79	Moldavie
7A	Monaco
7B	Mongolie
7C	Montenegro
7D	Mozambique
7E	Namibie
7F	Nauru
80	Nepal
81	Nicaragua
82	Nigeria
83	Niger
84	Nioue
85	Norvege
86	NouvelleZelande
87	Oman
88	Ouganda
89	Ouzbekistan
8A	Pakistan
8B	Palaos
8C	Panama
8D	PapouasieNouvell-Guinee
8E	Paraguay
8F	Pays-Bas
90	Perou
91	Philippines
92	Pologne
93	Portugal
94	Qatar
95	RepubliqueDemocratiqueCongo
96	RepubliqueDominicaine
97	RepubliqueTcheque
98	Roumanie
99	RoyaumeUni
9A	Russie
9B	Rwanda
9C	StKittsNevis
9D	SainteLucie
9E	SaintMarin
9F	SaintVincentGrenadines
A0	Salvador
A1	Samoa
A2	SaoTomaPrincipe
A3	Senegal
A4	Serbie
A5	Seychelles
A6	SierraLeone
A7	Singapour
A8	Slovaquie
A9	Slovenie
AA	Somalie
AB	Soudan
AC	SriLanka
AD	Suede
AE	Suisse
AF	Suriname
B0	Swaziland
B1	Syrie
B2	Tadjikistan
B3	
B4	Tanzanie
B5	Tchad
B6	Thailande
B7	TimorOriental
B8	Togo
B9	Tonga
BA	TriniteTobago
BB	Tunisie
BC	Turkmenistan
BD	Turquie
BE	Tuvalu
BF	Ukraine
C0	Uruguay
C1	Vatican
C2	Venezuela
C3	Vietnam
C4	Yemen
C5	Zambie
C6	Zimbabwe
